Category,Sr. No,Name of Author1,Name of Author2,Name of Author 3,Title of Research,Journal name,ISSN No,Volume,Issue,Month,Year,Academic Year,Publishers,Pages,Indexing: scopus /WoS/Sci/UGC/other,DOI,Google drive link,"Credit point, 15/14/7/5",,Dept
Faculty Paper PHD,1,K.R.Nirmal,K.V.V Satyanarayana,,Validating the Effect of Different Discretization Methods for Redic K-Prototype Clustering Algorithm,International Journal of Innovative Technology and Exploring Engineering,2278-3075,6,6,June,2019,2018-19,Blue Eyes Intelligence Engineering & Sciences Publication,2231-2236,Scopus,https://www.ijitee.org/wp-content/uploads/papers/v8i8/H7143068819.pdf,Click Here,15,2012-13,Computer
Faculty Paper PHD,2,K.R.Nirmal,K.V.V Satyanarayana,,REDIC K–Prototype Clustering Algorithm for Mixed Data (Numerical and Categorical Data),International Journal of Recent Technology and Engineering,2277-3878,7,6,March,2019,2018-19,Blue Eyes Intelligence Engineering & Sciences Publication,01-Jun,Scopus,https://www.ijrte.org/wp-content/uploads/papers/v7i6/E1924017519.pdf,Click Here,15,2013-14,Computer
Faculty Paper PHD,3,K.R.Nirmal,K.V.V Satyanarayana,,Issues of k means clustering while migrating to map reduce paradigm with big data: A survey,International Journal of Electrical and Computer Engineering,2722-2578,6,6,January,2016,2015-16,IAES Institute of Advanced Engineering and Science,3047,Scopus,http://doi.org/10.11591/ijece.v6i6.pp3047-3051,Click Here,15,2014-15,Computer
Faculty Paper PHD,4,K.R.Nirmal,K.V.V Satyanarayana,,Map Reduce based REmoving Dependency on K and Initial Centroid Selection MR-REDIC Algorithm for clustering of Mixed Data,International Journal of Advanced Computer Science and Applications (IJACSA),2156-5570,11,2,,2020,2019-20,The Science and Information (SAI) Organization,733,"Scopus, ESCI",10.14569/IJACSA.2020.0110292,Click Here,15,2015-16,Computer
,5,M. R. Sanghavi,,,Regional Level Project Competition,CSI Access Magezine,,-,-,March,2018,2017-18,CSI Nashik Chapter,-,,,,,2017-18,Computer
Student Paper,6,B. A. Khivsara,Dhanashri Patil,Kamlesh Jain,Smart Street Light Management System,International Journal on Emerging Trends in Technology,2455-0124,4,1,April,2017,2016-17,Sandip Foundation,-,,https://www.ijett.in/index.php/IJETT/article/view/286,,5,2018-19,Computer
Student Paper,7,B. A. Khivsara,"Kale Ruchira,","Naval Mayuri,",Career Guidance System,International Journal on Emerging Trends in Technology,2455-0124,4,1,April,2017,2016-17,Sandip Foundation,-,,https://www.ijett.in/index.php/IJETT/article/view/293,,5,2019-20,Computer
Student Paper,8,D. R. Agrawal,Patil Dipali,More Bhgyashri,online job portal,IJMTER,2349-9745,3,4,APRIL,2016,2015-16,"SNJB,KBJ COE,Chandwad","25, 26",,https://www.ijmter.com/published_special_issues/28-04-2016/online-job-portal.pdf,Click Here,5,2020-21,Computer
Student Paper,9,D. P. Pawar,Pragati Kaswa,Gauri Lodha,Survey on clustering Techniques in Data Mining,International Journal of Modern Trends in Engineering and Research (IJMTER),2349-9745,3,4,April,2016,2015-16,"SNJB,KBJ COE,Chandwad",-,,,,0,2021-22,Computer
Student Paper,10,R. R.Bhandari,Ms.Mamta Bora,Ms. Roshni Chordiya,Research Paper on i-Residancy,"IJCA, USA",0975-8887,164,4,,2017,2016-17,,1 to 4,,,,0,2022-23,Computer
